beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,0.2,0.8,11,0.09090909090909091,0.2191500230268439,0.21548465379942272,-37.033870021502175,9.037038772976892,-38.484519958496094,,75.3217187129858,51.29178771013037,0.10233337513760572,3.2633536513817654,75.42405208812342,51.2453001740645,1.829150023026844
0.01,0.2,1.0,11,0.0,0.3411553122780091,0.2818799671031736,-38.7336415683522,3.2645222769795676,,,75.35086162497738,49.87150845195509,0.15659581575980291,4.091577242065307,75.50745744073718,49.80269679006172,2.151155312278009
0.01,0.2,1.2,11,0.09090909090909091,0.2603747627951461,0.24583111710392552,-73.91811293822069,188.85631713159952,-37.99958038330078,,68.28241602040177,53.16802142674319,0.12411421643429002,3.5935260967995513,68.40653023683605,53.13004743841784,2.270374762795146
0.01,0.2,1.4,11,0.09090909090909091,0.44618953358039143,0.28890997099224663,-38.36842260360718,6.222284103207841,-40.042999267578125,,75.70098275633094,50.50580689021015,0.15071609805196168,5.023313813399993,75.85169885438292,50.529704326460426,2.6561895335803913
0.01,0.2,1.6,11,0.0,0.32754377885295227,0.28529507921309183,-38.46270243326823,6.54737060148612,,,75.77659678341773,50.403236646863135,0.12859006011912236,3.7192220818066466,75.90518684353684,50.34709758603887,2.7375437788529524
0.01,0.2,1.8,11,0.0,0.24132295088331063,0.19349382140579258,-34.157738288243614,11.990223412877118,,,68.06620427434349,52.394348744840286,0.10663226579202094,3.398494815691899,68.17283654013552,52.366030372479486,2.851322950883311
0.01,0.2,2.0,11,0.0,0.2807053652676182,0.19501229822610316,-39.86198482513428,3.942942509675078,,,68.40321343928622,53.473037352076766,0.13505506761466612,3.748371667105809,68.53826850690089,53.43163132637019,3.090705365267618
0.01,0.4,0.01,11,0.0,0.11819059198549957,0.13066295650073845,-34.95905243266713,10.64287406932851,,,75.71043623155062,51.103473822290326,0.08496998598648847,3.1946411788651803,75.79540621753712,51.077434062845036,0.9381905919854996
0.01,0.4,0.2,11,0.0,0.06413459777831193,0.10010065869807323,-38.920440673828125,1.5367871627088103,,,75.65876773941223,50.894451935779166,0.10039529556375014,3.301920856830959,75.75916303497597,50.852296233192675,1.0741345977783119
0.01,0.4,0.4,11,0.0,0.08728287436742997,0.09562276125487426,-38.39716928655451,3.286815327986606,,,74.89411731870861,50.72987492459211,0.1155638819695923,3.467679493273589,75.0096812006782,50.677751910639394,1.2972828743674298
