beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,1.0,9.5,745,0.0,0.030846563761659496,0.06125793630761445,-37.63139851185498,9.504903048065142,,,4.036720550082548,24.64525497418721,22.03187648542245,44.44156797329325,26.068597035504997,49.03630102066537,10.34084656376166
0.01,1.5,0.01,1091,0.0,0.003106871621527064,0.017321197709278664,-38.99314636654324,9.208144503693417,,,1.909900163231219,21.122807939669947,34.50869301142619,51.77601181044425,36.4185931746574,54.72754874123363,0.8231068716215272
0.01,1.5,0.5,1075,0.0,0.007284741068993555,0.030352517936261765,-36.47801406295211,8.747839441796732,,,1.744855035557316,20.05603163646877,33.68277592288684,50.64178626196541,35.427630958444155,53.37869562208563,1.3172847410689936
0.01,1.5,1.0,1057,0.0,0.019428294677152343,0.04755699600048771,-37.19733124244504,8.446026201728651,,,1.962415627878993,20.24610780392457,32.926278977945735,50.97042394271339,34.88869460582473,53.65306719691082,1.8294282946771523
0.01,1.5,1.5,1020,0.0,0.01822873657824412,0.04617828983787968,-37.512528869840835,8.500629830587332,,,1.9808045259313922,20.833181550851066,31.740175209551378,48.64889793143895,33.72097973548277,51.7202805493575,2.3282287365782444
0.01,1.5,10.0,731,0.0,0.021817419988832482,0.05033706133993951,-37.29660612439353,8.727718192924627,,,3.2067814094907154,22.815690777175746,21.508623810040902,44.34513302749817,24.715405219531615,48.467434104935776,10.831817419988832
0.01,1.5,2.0,957,0.0,0.014382843687239147,0.05270833294725972,-38.102585432664405,9.603451814954212,,,2.003087327256689,20.02991295462227,28.59453102028815,48.18593791675783,30.597618347544838,51.07367818681616,2.824382843687239
0.01,1.5,2.5,981,0.0,0.012641531490280244,0.03971190162322531,-36.86919159017583,9.483990117004723,,,2.0675364258102884,20.8265657206557,29.979278174249185,49.6243769919982,32.04681460005947,52.65312165753839,3.32264153149028
0.01,1.5,3.0,926,0.0,0.01935232792765196,0.045553942064571,-37.33879919765758,9.548834641876152,,,2.6008477194608584,22.118323793458387,28.838633993743482,48.926060366325764,31.43948171320434,52.27773090727783,3.8293523279276522
0.01,1.5,3.5,896,0.0,0.02105560685906573,0.05357387007458806,-39.33636100000615,9.355041847009586,,,2.5755992802832433,22.242072908655054,27.847911467100044,47.97700938237156,30.423510747383286,51.50771581537591,4.331055606859066
